MMSI,Length,area,sc,compactness,r_1_0,mean,variance,theta,class
MMSI431100109,2,4,1.273239545,0.636619772,0.015873016,0.718776679,0.028863662,-22.02338383,0
MMSI431000774,19,76,2.215604339,0.385322494,0.122807018,0.346493882,0.066177545,-17.86328361,0
MMSI431005216,19,57,2.702841841,0.368569342,0.163636364,0.461093428,0.064159919,-6.802066239,0
MMSI353057000,66,858,2.315351981,0.381007288,0.523809524,0.153354757,0.036392702,-30.43203071,0
MMSI351701000,22,176,1.627721009,0.434058936,0.153153153,0.506996145,0.124582564,-95.7274906,0
MMSI431300724,20,100,1.989436789,0.397887358,0.163636364,0.437109458,0.089239843,-95.40555517,0
MMSI352175000,23,115,2.17004305,0.387507688,0.185185185,0.297980726,0.068686476,-88.22735617,0
MMSI431000912,16,64,1.989436789,0.397887358,0.113043478,0.289832084,0.044752216,37.45912016,0
MMSI431003767,10,50,1.432394488,0.477464829,0.066666667,0.304284516,0.058993955,-133.3082222,0
MMSI431500018,17,85,1.81249394,0.411930441,0.153153153,0.564293063,0.095756975,-95.47852113,0
MMSI431501616,20,120,1.793145692,0.413802852,0.132743363,0.278156231,0.048309411,-127.9116044,0
MMSI432812000,15,75,1.697652726,0.424413182,0.094017094,0.189355896,0.026456292,-2.398927471,0
MMSI431300266,12,72,1.432394488,0.477464829,0.103448276,0.386484542,0.121906584,-10.65894219,0
MMSI431300411,10,40,1.559718442,0.445633841,0.040650407,0.332376599,0.081074063,24.24433674,0
MMSI431004611,26,208,1.769068406,0.41625139,0.185185185,0.12500201,0.018630632,61.45516501,0
MMSI352744000,65,390,4.114359324,0.347692337,0.406593407,0.324204857,0.12899019,-8.461928072,0
MMSI355337000,10,60,1.358122181,0.509295818,0.075630252,0.452067174,0.098274335,-32.6803292,0
MMSI431000692,18,72,2.13974979,0.389045416,0.103448276,0.376194234,0.115218454,-0.463886875,0
MMSI431500116,13,39,2.08941874,0.391766014,0.113043478,0.459317272,0.070709624,-22.96231365,0
MMSI431500526,18,90,1.870954775,0.406729299,0.084745763,0.299836003,0.078345154,-36.54323667,0
MMSI431501743,18,90,1.870954775,0.406729299,0.163636364,0.460918031,0.082412739,56.67175321,0
MMSI431602168,16,64,1.989436789,0.397887358,0.142857143,0.5920041,0.102270991,-9.051452823,0
MMSI441867000,12,60,1.533192618,0.450939005,0.05785124,0.286858966,0.063806377,120.1459429,0
MMSI563556000,17,136,1.462821168,0.468102774,0.122807018,0.237450268,0.058191048,119.9334988,0
MMSI565629000,24,120,2.230821786,0.384624446,0.185185185,0.261575335,0.056978099,-33.08156939,0
MMSI353294000,11,55,1.481587834,0.462996198,0.084745763,0.335995706,0.052369107,122.97382,0
MMSI431000301,22,88,2.445198671,0.376184411,0.196261682,0.429013947,0.082592561,-20.40620403,0
MMSI431100206,14,84,1.515761363,0.454728409,0.05785124,0.479650176,0.112732646,113.1274452,0
MMSI431100967,21,63,2.910261817,0.363782727,0.196261682,0.535875014,0.115400861,-0.265580027,0
MMSI431501667,14,42,2.190275169,0.386519148,0.049180328,0.238468771,0.059686794,10.82567862,0
MMSI431000384,18,108,1.697652726,0.424413182,0.132743363,0.346421697,0.068646275,94.22358706,0
MMSI441586000,21,189,1.515761363,0.454728409,0.163636364,0.164053858,0.038537756,118.1620658,0
MMSI431002092,16,112,1.503445802,0.457570461,0.015873016,0.116099575,0.034841092,120.2006433,0
MMSI431002092,16,112,1.503445802,0.457570461,0.024,0.095507946,0.026136371,116.8186878,0
MMSI431003181,10,40,1.559718442,0.445633841,0.032258065,0.27495902,0.06093066,12.59368318,0
MMSI431100221,17,136,1.462821168,0.468102774,0.103448276,0.178014126,0.036792374,132.6156473,0
MMSI441611000,18,90,1.870954775,0.406729299,0.075630252,0.266298785,0.064518088,-38.45188378,0
MMSI431007017,25,150,2.039305337,0.394704259,0.103448276,0.227382329,0.055202824,68.69567245,0
MMSI431100967,32,256,1.989436789,0.397887358,0.185185185,0.232024708,0.058588264,71.43202928,0
MMSI538005962,47,470,2.200401745,0.386035394,0.391304348,0.276750644,0.061915507,96.31853787,0
MMSI355810000,20,120,1.793145692,0.413802852,0.185185185,0.502181996,0.092002178,29.08532349,0
MMSI432464000,17,85,1.81249394,0.411930441,0.113043478,0.205931909,0.044059814,-24.33447121,0
MMSI370800000,22,198,1.544928286,0.448527567,0.153153153,0.185521985,0.029866688,6.435719098,1
MMSI432756000,23,276,1.412788444,0.484384609,0.132743363,0.183156793,0.040945042,128.0265994,1
MMSI371181000,39,546,1.637605257,0.432574974,0.376344086,0.230401078,0.118299958,-7.576113539,1
MMSI431003935,13,78,1.473203448,0.465222141,0.084745763,0.178167266,0.028045692,101.4612728,1
MMSI431007132,32,192,2.393955602,0.37799299,0.230769231,0.400344652,0.08220723,-29.2333196,1
MMSI431100955,15,90,1.559718442,0.445633841,0.122807018,0.385957005,0.071034821,98.29073387,1
MMSI431602174,30,540,1.358122181,0.509295818,0.066666667,0.063910143,0.011444538,63.55264595,1
MMSI432756000,23,253,1.45441197,0.470545049,0.142857143,0.198521364,0.045672377,125.5862886,1
MMSI511277000,20,200,1.432394488,0.477464829,0.174311927,0.40452184,0.091329627,94.94676112,1
MMSI564849000,57,912,1.859948885,0.40766003,0.523809524,0.226288581,0.067631733,105.7777458,1
MMSI636016236,36,252,2.335535633,0.380203475,0.333333333,0.552085775,0.101328305,-4.942945924,1
MMSI431006934,19,190,1.408940075,0.485841405,0.174311927,0.479766037,0.129541795,72.91360578,1
MMSI431008365,20,80,2.291831181,0.381971863,0.122807018,0.331391634,0.078012637,-20.72106852,1
MMSI431401953,37,481,1.654417288,0.430148495,0.333333333,0.366160219,0.126869417,79.20295376,1
MMSI431600375,15,45,2.291831181,0.381971863,0.113043478,0.417517529,0.090165417,-12.81600241,1
MMSI351357000,42,252,2.910261817,0.363782727,0.306122449,0.355342123,0.093944467,-1.13538435,1
MMSI431005927,18,162,1.432394488,0.477464829,0.153153153,0.303642034,0.084971637,103.635049,1
MMSI431501666,13,52,1.769068406,0.41625139,0.049180328,0.269044029,0.095969954,131.921589,1
MMSI431600801,14,84,1.515761363,0.454728409,0.113043478,0.238669952,0.049553695,104.7906492,1
MMSI441774000,12,48,1.697652726,0.424413182,0.040650407,0.239777693,0.048412547,-42.94285418,1
MMSI510235000,14,56,1.841650056,0.409255568,0.113043478,0.224918505,0.026025227,113.3855127,1
MMSI249717000,34,476,1.540726844,0.449378663,0.347368421,0.501424649,0.128707356,126.8407737,1
MMSI354508000,19,133,1.617875812,0.43558195,0.122807018,0.295195976,0.099481154,-28.72474288,1
MMSI431200632,34,544,1.462821168,0.468102774,0.185185185,0.174081226,0.065006088,-17.33369785,1
MMSI431400715,27,243,1.697652726,0.424413182,0.066666667,0.19240277,0.053428784,133.0498995,1
MMSI354508000,20,160,1.559718442,0.445633841,0.084745763,0.280927913,0.093817441,-31.79906525,1
MMSI352840000,48,528,2.098554382,0.391255902,0.422222222,0.222887333,0.069318442,89.40337678,1
